Sensor,Set,Round,Constante_Calibracion_K,Error_K,N_Paths,Status
55184,29.0,1,0.5753167735948143,0.00023529108974930732,4,Calculado
55185,29.0,1,0.4929110051194624,0.00024077233727486623,4,Calculado
55192,29.0,1,0.47059174055615255,0.0002359589964765083,4,Calculado
55193,29.0,1,,,0,Descartado
55258,29.0,1,0.49055560770826684,0.00023338919542068714,4,Calculado
55262,29.0,1,0.5520776452681551,0.00023245508943309267,4,Calculado
55263,29.0,1,0.4779254057268285,0.00021253306006290915,4,Calculado
55264,29.0,1,0.41729040732694,0.00021208366754687114,4,Calculado
55265,29.0,1,0.4856166104013717,0.000235015299054403,4,Calculado
49316,30.0,1,,,0,Sin conexión
54926,30.0,1,,,0,Descartado
54927,30.0,1,0.5239635541312216,0.0002931023486835659,3,Calculado
54933,30.0,1,0.46349108153982116,0.0002893733176975182,3,Calculado
55168,30.0,1,0.44546089287028634,0.0002688342550986413,3,Calculado
55172,30.0,1,0.47034194858062695,0.00028758771106832115,3,Calculado
55173,30.0,1,,,0,Descartado
55175,30.0,1,0.5023252591612903,0.0002933328510959729,3,Calculado
55248,30.0,1,0.4807422758863461,0.00029273668889552145,3,Calculado
55253,30.0,1,0.5927864242240823,0.000278560089825904,3,Calculado
55254,30.0,1,0.5565946935922904,0.00027589855392129274,3,Calculado
55255,30.0,1,,,0,Descartado
55179,31.0,1,0.49213357895961946,0.0002578034228195632,4,Calculado
55180,31.0,1,0.5677990320393123,0.00026465241720676294,4,Calculado
55181,31.0,1,0.4658300995562293,0.0002643354040880422,4,Calculado
55182,31.0,1,0.5906444390685015,0.0002645120951380205,4,Calculado
55183,31.0,1,0.5053538522323993,0.0002654835410749107,4,Calculado
55186,31.0,1,0.7208574762618629,0.0002440845545158085,4,Calculado
55187,31.0,1,0.4325362194597288,0.00026891329929282297,4,Calculado
55194,31.0,1,0.43640234667394506,0.00024239446982085634,4,Calculado
55195,31.0,1,,,0,Descartado
55259,31.0,1,0.4247450947511786,0.0002687560532186035,4,Calculado
55260,31.0,1,0.5652095632086226,0.0002658001966416742,4,Calculado
55261,31.0,1,0.38573658787520965,0.00026834167013094304,4,Calculado
54928,32.0,1,0.4892548928999628,0.00024308015239774762,4,Calculado
54929,32.0,1,0.4975090459958714,0.00024409262785487866,4,Calculado
54930,32.0,1,0.48444702305119275,0.00021548311922066132,4,Calculado
54931,32.0,1,,,0,Descartado
54932,32.0,1,0.49209854030844896,0.0002409171747017078,4,Calculado
55166,32.0,1,0.5693354676613629,0.00021987024561616686,4,Calculado
55169,32.0,1,0.5515271393732203,0.0002426573611877246,4,Calculado
55170,32.0,1,0.4928107693218273,0.00024234932214967775,4,Calculado
55171,32.0,1,0.5341467765798524,0.0002345525195037789,4,Calculado
55246,32.0,1,0.5382605445929568,0.0002392203884196794,4,Calculado
55247,32.0,1,0.5284461094300743,0.00022161346314369552,4,Calculado
55249,32.0,1,0.5149339653538196,0.000240050025588895,4,Calculado
54871,33.0,1,0.40126240195817453,0.00025231612355619044,3,Calculado
54885,33.0,1,0.5004804943612339,0.0002517945739995729,3,Calculado
54934,33.0,1,,,0,Descartado
54935,33.0,1,0.413276244460796,0.000255335550875129,3,Calculado
55101,33.0,1,0.4860258853408259,0.0002544877093540396,3,Calculado
55102,33.0,1,0.4409529986741684,0.0002454275435602937,3,Calculado
55167,33.0,1,0.5355589502275694,0.00022991562369427065,3,Calculado
55203,33.0,1,0.4686524278234978,0.00025266258601755004,3,Calculado
55207,33.0,1,0.6187620058388674,0.00025345865118193587,3,Calculado
55226,33.0,1,0.4854878749482909,0.00025397617103640655,3,Calculado
