Sensor,Set,Round,Path_Number,Paso1_From,Paso1_To,Paso1_Set,Paso1_Offset_K,Paso1_Error_K,Paso2_From,Paso2_To,Paso2_Set,Paso2_Offset_K,Paso2_Error_K,Paso3_From,Paso3_To,Paso3_Set,Paso3_Offset_K,Paso3_Error_K,Total_Offset_K,Total_Error_K
55213,28.0,1,0,55213,PROMEDIO,28.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,0.4057244350938306,0.00023582915169712606
55213,28.0,1,1,55213,55208,28.0,-0.061019419149702055,0.0003077773430213467,55208,55253,53.0,-0.12100161975808586,0.0003466540882071683,55253,48484,57.0,0.590630170929935,0.00017637834543702863,0.40860913202214705,0.0004959891838408644
55213,28.0,1,2,55213,55208,28.0,-0.061019419149702055,0.0003077773430213467,55208,55227,53.0,0.07587648906154745,0.00019654278977974588,55227,48484,57.0,0.39057339301351796,0.00017148462786149745,0.40543046292536333,0.0004034388908923895
55213,28.0,1,3,55213,55215,28.0,-0.010040568248686441,0.00033456326065704517,55215,55253,53.0,-0.17430159165469097,0.0004030941079320694,55253,48484,57.0,0.590630170929935,0.00017637834543702863,0.40628801102655754,0.0005527447475735329
55213,28.0,1,4,55213,55215,28.0,-0.010040568248686441,0.00033456326065704517,55215,55227,53.0,0.022576517164942335,0.0002845081214890236,55227,48484,57.0,0.39057339301351796,0.00017148462786149745,0.4031093419297738,0.00047147049130086944
55214,28.0,1,0,55214,PROMEDIO,28.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,0.4112662361811305,0.00019782883793239436
55214,28.0,1,1,55214,55208,28.0,-0.055430203325330156,0.00018319764900957605,55208,55253,53.0,-0.12100161975808586,0.0003466540882071683,55253,48484,57.0,0.590630170929935,0.00017637834543702863,0.414198347846519,0.0004299299433773866
55214,28.0,1,2,55214,55208,28.0,-0.055430203325330156,0.00018319764900957605,55208,55227,53.0,0.07587648906154745,0.00019654278977974588,55227,48484,57.0,0.39057339301351796,0.00017148462786149745,0.4110196787497353,0.00031874350881208146
55214,28.0,1,3,55214,55215,28.0,-0.004451352424314542,0.00022531547018975429,55215,55253,53.0,-0.17430159165469097,0.0004030941079320694,55253,48484,57.0,0.590630170929935,0.00017637834543702863,0.4118772268509294,0.0004943290823889332
55214,28.0,1,4,55214,55215,28.0,-0.004451352424314542,0.00022531547018975429,55215,55227,53.0,0.022576517164942335,0.0002845081214890236,55227,48484,57.0,0.39057339301351796,0.00017148462786149745,0.40869855775414576,0.0004013962006457452
55215,28.0,1,0,55215,PROMEDIO,28.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,0.41534669334822155,0.00019986040021300483
55215,28.0,1,1,55215,55208,28.0,-0.050978850901015615,0.000290393594470446,55208,55253,53.0,-0.12100161975808586,0.0003466540882071683,55253,48484,57.0,0.590630170929935,0.00017637834543702863,0.4186497002708335,0.00048539346649837886
55215,28.0,1,2,55215,55208,28.0,-0.050978850901015615,0.000290393594470446,55208,55227,53.0,0.07587648906154745,0.00019654278977974588,55227,48484,57.0,0.39057339301351796,0.00017148462786149745,0.4154710311740498,0.0003903389367161154
55215,28.0,1,3,55215,55215,28.0,0.0,0.0,55215,55253,53.0,-0.17430159165469097,0.0004030941079320694,55253,48484,57.0,0.590630170929935,0.00017637834543702863,0.416328579275244,0.00043999338698286666
55215,28.0,1,4,55215,55215,28.0,0.0,0.0,55215,55227,53.0,0.022576517164942335,0.0002845081214890236,55227,48484,57.0,0.39057339301351796,0.00017148462786149745,0.4131499101784603,0.0003321924875520355
55216,38.0,1,0,55216,PROMEDIO,38.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,0.5282164858506201,0.0003021416687918171
55216,38.0,1,1,55216,55217,38.0,0.060146833850176246,0.0003437877278920402,55217,55233,54.0,-0.06517780999032337,0.0003511739153595258,55233,48484,57.0,0.5316359511611972,0.00017494905790855654,0.5266049750210501,0.0005216515058362261
